"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "FLUX_MEASUREMENTS_METHOD", "FLUX_MEASUREMENTS_VARIABLE", "FLUX_MEASUREMENTS_DATE_START", "FLUX_MEASUREMENTS_DATE_END", "FLUX_MEASUREMENTS_OPERATIONS", "FLUX_MEASUREMENTS_COMMENT", 
"US-Myb", "11197", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20101014", , "Continuous operation", , 
"US-Myb", "11210", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20101014", , "Continuous operation", , 
"US-NC1", "12822", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20050101", "20130129", "Continuous operation", , 
"US-NC1", "12838", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20050307", "20130104", "Periodic operation", , 
"US-NC1", "12843", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20080731", "20120917", "Continuous operation", , 
"US-NC2", "12851", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20050101", , "Continuous operation", , 
"US-NC2", "12867", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20050309", , "Periodic operation", , 
"US-NC2", "12871", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20050525", , "Continuous operation", , 
"US-NC3", "12880", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20130220", , "Continuous operation", , 
"US-NC3", "12895", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20130611", , "Periodic operation", , 
"US-NC3", "12898", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20130605", , "Continuous operation", , 
"US-NC4", "12902", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090215", , "Continuous operation", , 
"US-NC4", "12918", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20090605", "20121231", "Continuous operation", , 
"US-NC4", "12920", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20100307", "20110818", "Periodic operation", , 
"US-NC4", "12922", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CH4", "20120112", , "Continuous operation", , 
"US-Ne1", "2119", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Continuous operation", , 
"US-Ne2", "1239", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Continuous operation", , 
"US-Ne3", "3785", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Continuous operation", , 
"US-NGB", "13256", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20120906", , "Growing season operation only", , 
"US-NGB", "13269", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20120906", , "Growing season operation only", , 
"US-NGB", "13271", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20120906", , "Growing season operation only", , 
"US-NGB", "13273", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20120906", , "Growing season operation only", , 
"US-NGB", "13275", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "20120701", , "Periodic operation", , 
"US-NGB", "13276", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20120701", , "Periodic operation", , 
"US-NGB", "13277", "GRP_FLUX_MEASUREMENTS", "Chambers", "H2O", "20120701", , "Periodic operation", , 
"US-NGC", "85188", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170701", , "Growing season operation only", , 
"US-NGC", "85189", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20170701", , "Growing season operation only", , 
"US-NGC", "85191", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170701", , "Growing season operation only", , 
"US-NMj", "409", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2007", "Continuous operation", , 
"US-NR1", "11576", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "19981101", , "Continuous operation", , 
"US-NR1", "11591", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "19981101", , "Continuous operation", , 
"US-NR2", "29768", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200007180200", "201609011500", "Continuous operation", , 
"US-NR2", "29769", "GRP_FLUX_MEASUREMENTS", "Gradients", "H2O", "200007180200", "201609011500", "Continuous operation", , 
"US-NR2", "29770", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20141101", "201608312300", "Continuous operation", , 
"US-NR2", "29771", "GRP_FLUX_MEASUREMENTS", "Gradients", "CO2", "200007180200", "201609011500", "Continuous operation", , 
"US-NR2", "29772", "GRP_FLUX_MEASUREMENTS", "Gradients", "CH4", "20141101", "201608312300", "Continuous operation", , 
"US-NR2", "29773", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200007180200", "201609011500", "Continuous operation", "this site ceased operations 2016, Sep 01. It is a daughter site to NR1, which continues operation. CH4 measured from 2014-2016", 
"US-Nrf", "30905", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201706010000", , "Continuous operation", , 
"US-Nrf", "30906", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201706010000", , "Continuous operation", , 
"US-Nrf", "30907", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201706010000", , "Continuous operation", , 
"US-Nrf", "30908", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201706010000", , "Continuous operation", , 
"US-Nrs", "30868", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201706010000", , "Continuous operation", , 
"US-Nrs", "30885", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201706010000", , "Continuous operation", , 
"US-Nrs", "30887", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201706010000", , "Continuous operation", , 
"US-Nrs", "30889", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201706010000", , "Continuous operation", , 
"US-OF1", "30646", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170401", , "Planned", , 
"US-OF1", "30647", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170401", , "Planned", , 
"US-OF1", "30648", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20170401", , "Planned", , 
"US-OF2", "30627", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170401", , "Planned", , 
"US-OF2", "30628", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20170401", , "Planned", , 
"US-OF2", "30629", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170401", , "Planned", , 
"US-Oho", "12791", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", "2013", "Continuous operation", , 
"US-Oho", "12806", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2004", "2013", "Continuous operation", , 
"US-Oho", "12812", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "2004", "2013", "Continuous operation", , 
"US-ORv", "83622", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201104", "20161030", "Continuous operation", , 
"US-ORv", "83623", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201104", "20161030", "Continuous operation", , 
"US-OWC", "14789", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20150717", , "Growing season operation only", , 
"US-OWC", "14802", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20150717", , "Growing season operation only", , 
"US-OWC", "14803", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20150717", , "Growing season operation only", , 
"US-OWC", "14804", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20150717", , "Growing season operation only", , 
"US-PFa", "15234", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1996", , "Continuous operation", "Tall tower, 3 measurement heights", 
"US-PFa", "15248", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "1996", , "Continuous operation", , 
"US-PFa", "15251", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1996", , "Continuous operation", , 
"US-PFa", "15254", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "2011", , "Continuous operation", , 
"US-PFb", "87408", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFb", "87409", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFb", "87410", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFc", "87431", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFc", "87432", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFc", "87433", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFd", "87454", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFd", "87455", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFd", "87456", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFe", "87477", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFe", "87478", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFe", "87479", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFf", "87500", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190620", , "Continuous operation", , 
"US-PFf", "87501", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190620", , "Continuous operation", , 
"US-PFf", "87502", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190620", , "Continuous operation", , 
"US-PFg", "87530", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFg", "87531", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFg", "87533", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFh", "87550", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFh", "87551", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFh", "87552", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFi", "87573", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFi", "87574", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFi", "87575", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFj", "87596", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFj", "87597", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFj", "87598", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFk", "87615", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFk", "87616", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFk", "87617", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFL", "87636", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFL", "87639", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFL", "87641", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFm", "87661", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFm", "87662", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFm", "87663", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFn", "87684", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFn", "87685", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFn", "87686", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFo", "87707", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190620", , "Continuous operation", , 
"US-PFo", "87708", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190620", , "Continuous operation", , 
"US-PFo", "87709", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190620", , "Continuous operation", , 
"US-PFp", "87730", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFp", "87731", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFp", "87732", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFq", "87781", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFq", "87782", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFq", "87783", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFr", "87758", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFr", "87759", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFr", "87760", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFs", "87750", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFs", "87751", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFs", "87801", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PFt", "87822", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190624", , "Continuous operation", , 
"US-PFt", "87823", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190624", , "Continuous operation", , 
"US-PFt", "87824", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190624", , "Continuous operation", , 
"US-PHM", "30026", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20130101", , "Continuous operation", , 
"US-PHM", "30027", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20130101", , "Continuous operation", , 
"US-PHM", "30028", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20130101", , "Continuous operation", , 
"US-PLM", "79848", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20150701", , "Periodic operation", "seasonally operated (mid-April -November)", 
"US-PLM", "79849", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20150701", , "Periodic operation", "seasonally operated (mid-April -November)", 
"US-PLM", "79850", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20150701", , "Periodic operation", "seasonally operated (mid-April -November)", 
"US-Pnp", "79404", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201201010000", , "Continuous operation", , 
"US-Pnp", "79411", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201201010000", , "Continuous operation", , 
"US-Pnp", "79420", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201607010000", , "Continuous operation", , 
"US-Pon", "4666", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1997", "2001", "Continuous operation", , 
"US-Prr", "11883", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20110101", , "Continuous operation", , 
"US-Prr", "11897", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20110101", , "Continuous operation", , 
"US-Prr", "11899", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20110101", , "Continuous operation", , 
"US-PSH", "86796", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201610141730", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-PSH", "86798", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201610141730", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-PSH", "86803", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201610141730", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-PSL", "86774", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201608061230", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-PSL", "86786", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201608061230", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-PSL", "86788", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201608061230", , "Continuous operation", "Will be operational through end of 2019 growing season", 
"US-RC1", "84883", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201108200000", "201610020000", "Continuous operation", , 
"US-RC1", "84884", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201108200000", "201610020000", "Continuous operation", , 
"US-RC2", "84918", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201206280000", "201610020000", "Continuous operation", , 
"US-RC2", "84919", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201206280000", "201610020000", "Continuous operation", , 
"US-RC2", "84920", "GRP_FLUX_MEASUREMENTS", "Gradients", "N2O", "201504010000", "201510020000", "Intermittent", , 
"US-RC3", "84900", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201110180000", "201610020000", "Continuous operation", , 
"US-RC3", "84901", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201110180000", "201610020000", "Continuous operation", , 
"US-RC4", "84936", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201207110000", "201610020000", "Continuous operation", , 
"US-RC4", "84937", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201207110000", "201610020000", "Continuous operation", , 
"US-RC5", "84953", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201306130000", "201510020000", "Continuous operation", , 
"US-RC5", "84954", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201306130000", "201510020000", "Continuous operation", , 
"US-RFE", "29947", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "201212271300", , "Continuous operation", , 
"US-RFE", "29948", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H", "201212271300", , "Continuous operation", , 
"US-RFW", "29964", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "201008031500", , "Continuous operation", , 
"US-RFW", "29965", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H", "201008031500", , "Continuous operation", , 
"US-Rls", "30708", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140910", , "Continuous operation", , 
"US-Rls", "30717", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140910", , "Continuous operation", , 
"US-Rms", "30609", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140916", , "Continuous operation", , 
"US-Rms", "30610", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140916", , "Continuous operation", , 
"US-Ro1", "30205", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200305210000", "201701010000", "Continuous operation", , 
"US-Ro1", "30206", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200305210000", "201701010000", "Continuous operation", , 
"US-Ro1", "30207", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Other", "200305210000", "201701010000", "Continuous operation", , 
"US-Ro1", "30208", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200305210000", "201701010000", "Continuous operation", , 
"US-Ro2", "30179", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200305210000", "201701010000", "Continuous operation", , 
"US-Ro2", "30180", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200305210000", "201701010000", "Continuous operation", , 
"US-Ro2", "30181", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200305210000", "201701010000", "Continuous operation", , 
"US-Ro2", "30182", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Other", "200305210000", "201701010000", "Continuous operation", , 
"US-Ro3", "14563", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200305210000", "201011010000", "Continuous operation", "Site operated continuously from mid 2003 through end of season 2010 when the site had to be closed due to a land ownership conflict. Site G21 (Ro1) has replaced this site for these purposes.", 
"US-Ro3", "14579", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200305210000", "201011010000", "Continuous operation", , 
"US-Ro3", "14582", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200305210000", "201011010000", "Continuous operation", , 
"US-Ro4", "14485", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201401100000", , "Continuous operation", , 
"US-Ro4", "14501", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201401100000", , "Continuous operation", , 
"US-Ro4", "14504", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201401100000", , "Continuous operation", , 
"US-Ro5", "30127", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201701010000", , "Continuous operation", , 
"US-Ro5", "30128", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201701010000", , "Continuous operation", , 
"US-Ro5", "30129", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Other", "201701010000", , "Continuous operation", , 
"US-Ro5", "30130", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201701010000", , "Continuous operation", , 
"US-Ro6", "30153", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201701010000", , "Continuous operation", , 
"US-Ro6", "30154", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Other", "201701010000", , "Continuous operation", , 
"US-Ro6", "30155", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201701010000", , "Continuous operation", , 
"US-Ro6", "30156", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201701010000", , "Continuous operation", , 
"US-Rpf", "85281", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20080820", , "Continuous operation", , 
"US-Rpf", "85285", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20080820", , "Continuous operation", , 
"US-Rpf", "85297", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20080820", , "Continuous operation", , 
"US-RRC", "79827", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201701010101", , "Continuous operation", , 
"US-RRC", "79833", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201701010101", , "Continuous operation", , 
"US-RRC", "79836", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201701010101", , "Continuous operation", , 
"US-Rwe", "88135", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200302040000", "200710010000", "Continuous operation", , 
"US-Rwe", "88136", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200302040000", "200710010000", "Continuous operation", , 
"US-Rwf", "88120", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201406041000", , "Continuous operation", , 
"US-Rws", "17069", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140916", , "Continuous operation", , 
"US-Rws", "17083", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140916", , "Continuous operation", , 
"US-Sag", "84672", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "199606100000", "199609080000", "Continuous operation", , 
"US-Sag", "84673", "GRP_FLUX_MEASUREMENTS", "Other", "CH4", "199606100000", "199609080000", "Continuous operation", "Modified Gradient method", 
"US-Sag", "84675", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "199606100000", "199609080000", "Continuous operation", , 
"US-Sag", "84679", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "199606100000", "199609080000", "Continuous operation", , 
"US-SB1", "13239", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201505040900", , "continuous operation", , 
"US-SB1", "13252", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201505040900", , "continuous operation", , 
"US-SB2", "23549", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201604150000", , "Continuous operation", , 
"US-SB2", "23550", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201604150000", , "Continuous operation", , 
"US-SB3", "84637", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201803290000", , "Continuous operation", , 
"US-SB3", "84649", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201803290000", , "Continuous operation", , 
"US-SCc", "4669", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-SCd", "8916", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-SCf", "6363", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-SCg", "5504", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-SCs", "8080", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-SCw", "8915", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-SdH", "12273", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20040505", , "Continuous operation", , 
"US-SdH", "12285", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20040505", , "Continuous operation", , 
"US-SdH", "12287", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20040505", , "Continuous operation", , 
"US-SDU", "13148", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201012021200", "201407090900", "Continuous operation", "Eddy Covariance at 60m, CO2 storage from 120-15m gradient; Eddy covariance ran 2001-2007, 2010-2014", 
